src.fid;src.device_id;src.ab_eoi_code;Status;src.network;Region;Gewest;Municipality;Gemeente;src.Name;src.timestamp;src.Value;Google Maps;Google Street View;Geo Point
pm10_hmean_station.fid--17262e03_197a4795c21_-49da;11074;BELZB08;Active;Flanders;;;;;40ZB08 - Zeebrugge (Evendijk-Oost);2025-06-23T22:00:00+02:00;21;https://www.google.com/maps/search/?api=1&query=225138%2C69418;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=225138%2C69418;51.330403831641554, 3.212604898952718
pm10_hmean_station.fid--17262e03_197a4795c21_-49d7;6563;BETN043;Active;Brussels;;;;;41N043 - Haren;2025-06-23T22:00:00+02:00;10;https://www.google.com/maps/search/?api=1&query=174800%2C151000;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=174800%2C151000;50.883559811382206, 4.38296325180234
pm10_hmean_station.fid--17262e03_197a4795c21_-49ce;11030;BETMK02;Active;Flanders;;;;;42MK02 - Merksem;2025-06-23T22:00:00+02:00;14;https://www.google.com/maps/search/?api=1&query=215624%2C154103;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=215624%2C154103;51.250507862508094, 4.427522934333513
pm10_hmean_station.fid--17262e03_197a4795c21_-49ca;6749;BETN054;Active;Flanders;;;;;42N054 - Walshoutem;2025-06-23T22:00:00+02:00;13;https://www.google.com/maps/search/?api=1&query=155940%2C201869;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=155940%2C201869;50.711706093733504, 5.103158609453958
pm10_hmean_station.fid--17262e03_197a4795c21_-49c9;6771;BETR020;Active;Flanders;;;;;42R020 - Vilvoorde;2025-06-23T22:00:00+02:00;38;https://www.google.com/maps/search/?api=1&query=181235%2C154777;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=181235%2C154777;50.94138711459387, 4.436720763534069
pm10_hmean_station.fid--17262e03_197a4795c21_-49be;10937;BETZD01;Active;Flanders;;;;;42ZD01 - Zwijndrecht (Binnenplein);2025-06-23T22:00:00+02:00;17;https://www.google.com/maps/search/?api=1&query=211728%2C147007;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=211728%2C147007;51.2154967122348, 4.325923016227136
pm10_hmean_station.fid--17262e03_197a4795c21_-49bb;6883;BETM204;Active;Wallonia;;;;;43M204 - Angleur;2025-06-23T22:00:00+02:00;14;https://www.google.com/maps/search/?api=1&query=145320%2C237930;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=145320%2C237930;50.611922706553244, 5.611149762819439
pm10_hmean_station.fid--17262e03_197a4795c21_-49b4;6936;BETN085;Active;Wallonia;;;;;43N085 - Vielsalm;2025-06-23T22:00:00+02:00;9;https://www.google.com/maps/search/?api=1&query=111525%2C266325;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=111525%2C266325;50.30320782818856, 6.001736288537825
pm10_hmean_station.fid--17262e03_197a4795c21_-499b;7151;BETR511;Active;Wallonia;;;;;45R511 - Marcinelle;2025-06-23T22:00:00+02:00;15;https://www.google.com/maps/search/?api=1&query=118520%2C153980;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=118520%2C153980;50.37759210212807, 4.42470045040247
pm10_hmean_station.fid--17262e03_197a4795c21_-4993;10768;BELAL04;Active;Flanders;;;;;40AL04 - Beveren;2025-06-23T21:00:00+02:00;13;https://www.google.com/maps/search/?api=1&query=220093%2C144738;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=220093%2C144738;51.2906675267467, 4.2933294769403885
pm10_hmean_station.fid--17262e03_197a4795c21_-498c;10691;BELSA04;Active;Flanders;;;;;40SA04 - Hoevenen;2025-06-23T21:00:00+02:00;10;https://www.google.com/maps/search/?api=1&query=222679%2C152448;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=222679%2C152448;51.3139288941448, 4.403868139749611
pm10_hmean_station.fid--17262e03_197a4795c21_-498a;11061;BELZB07;Active;Flanders;;;;;40ZB07 - Zeebrugge;2025-06-23T21:00:00+02:00;24;https://www.google.com/maps/search/?api=1&query=224173%2C69794;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=224173%2C69794;51.32178391495644, 3.2182131043832807
pm10_hmean_station.fid--17262e03_197a4795c21_-4987;6552;BETMEU1;Active;Brussels;;;;;41MEU1 - Meudon;2025-06-23T21:00:00+02:00;12;https://www.google.com/maps/search/?api=1&query=176084%2C151686;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=176084%2C151686;50.89510056203224, 4.392717697566157
pm10_hmean_station.fid--17262e03_197a4795c21_-4984;6626;BETR012;Active;Brussels;;;;;41R012 - Uccle;2025-06-23T21:00:00+02:00;10;https://www.google.com/maps/search/?api=1&query=165130%2C149280;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=165130%2C149280;50.796631638497885, 4.358538856351678
pm10_hmean_station.fid--17262e03_197a4795c21_-4980;100039;BETDU07;Active;Flanders;;;;;40DU07 - Deurne;2025-06-23T21:00:00+02:00;12;https://www.google.com/maps/search/?api=1&query=212942%2C155588;https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=212942%2C155588;51.2263885910435, 4.4487499033416125
